question,answer,document
如何通过电脑软件（新版，V7.11及以上版本）经典交易进行新股询价？,2）电脑软件（新版，V7.11及以上版本）经典交易：股票—北交所—新股询价。,beijiaosuo_json_csv
新股中签当天，手机软件、电脑软件（新版、旧版）（普通账户及信用账户）登录后是否会有新股中签弹框提示？,①手机软件、电脑软件（新版、旧版）（普通账户及信用账户）：登录后，会有新股中签弹框提示。,Aguxingu_json_csv
在行情揭示软件中，集合竞价参考价格揭示在哪个位置显示？,在行情揭示软件中，集合竞价参考价格揭示在即时行情中的“买价格一”和“卖价格一”位置,Agujiaoyi_json
信用账户取消创业板权限会影响普通账户创业板权限吗？,不会。信用账户单独申请关闭创业板权限不影响普通账户创业板权限。,chuangyeban_json_csv
普通账户如何通过95565电话语音进行创业板交易？,6、95565电话语音：拨打95565—1证券交易—1牛卡号输入—1交易—1买入、2卖出—创业板：1盘中竞价买入/卖出、2盘后定价买入/卖出。,chuangyeban_json_csv
未参与询价的投资者可以参与新股申购吗？,③未参与询价的投资者可以通过网上参与新股申购。,beijiaosuo_json_csv
怎么查询近期发行的北交所新股？,您可以通过以下渠道查询北交所新股发行信息：1、手机软件（V8.10及以上版本）：交易—北证/新三板新股申购—打新日历—申购日历；手机软件（V8.10及以上版本）：交易—北交所交易—新股申购—打新日历—申购日历；2、电脑软件（新版，V7.11及以上版本）经典交易：股票—北交所—新股申购，或北交所—新股申购—申购日历。相关截图请点击右侧“详情”查看。,beijiaosuo_json_csv
总资产的核酸范围需要咨询哪个部门？,【备注】总资产核算范围请咨询所属营业部。,Aguxingu_json_csv
提交预约打新申请后有消息提示吗？,没有。提交预约打新申请后，没有消息提示预约成功，您可自行通过通过手机软件“预约记录”菜单查询，有记录即为预约申请设置成功。,yuyuedaxin_json_csv
申购普通新股和科创板、创业板新股是否可以撤单呢？,一经申购不允许撤单。【注意】在交易日9:15前和中午休市时段，新股申购的委托未上报至交易所系统前，虽然暂存在我司系统，仍然无法撤单。,Aguxingu_json_csv
新股中签后没有足够的可用资金怎么办？,A股新股中签缴款时账户可用资金不足，处理方式为：我司会按照账户中单只中签新股应缴纳中签金额从小到大的顺序为中签客户进行中签缴款，最小单位为1股。[备注]&nbsp;1、放弃认购的股数以实际不足资金为准，最小单位为1股，不是500/1000股的整数倍。2、如连续12个月内累计出现3次中签但未足额缴款的情形时，将被列入限制申购名单。自最近一次申报其放弃认购（全部或部分放弃认购）的次日起6个月（按180个自然日计算）内不得参与该市场网上新股、可转债、可交换债申购（沪深两市分开计算）。3、T日同一只新债或新股中签多个配号，放弃或不足额缴款，算1次放弃认购；4、T日有多只新股或新债中签，均放弃缴款或不足额缴款，算多次放弃认购。举例：小明于T日申购3只新股，申购价格及数量如下：股票A：申购价格10元申购数量1000股股票B：申购价格15元申购数量500股股票C：申购价格5元申购数量500股假设A、B、C股票同时中签，金额小的优先缴款，则扣款顺序C&gt;B&gt;A，资金不足部分视为放弃申购。,Aguxingu_json_csv
在微证券公众号中新股发行提醒需要账户满足哪些条件？,新股发行提醒需要账户满足新股申购条件，有新股申购额度并9点半前未进行新股申购，系统推送新股申购消息，点击即可申购，提交完申购申请，系统会有新股申购提交通知。,Aguxingu_json_csv
现金包括什么？,（1）现金：包含主辅资金账户的人民币、外币，不含在途资金（例如基金、理财赎回资金未到账部分）、当日转入资金；,chuangyeban_json_csv
普通账户怎么查询新股是否中签？,"T日申购新股，T+2日可查询是否中签。您可以通过以下渠道查询：1、手机软件：交易—普通—新股申购—中签缴款，或者交易—普通—成交查询—全部业务—配售中签；2、电脑软件（新版）：交易—普通交易—新股申购—中签缴款，或者交易—查询—历史成交；3、电脑软件（旧版）、电脑软件（新版）经典交易：股票—新股—新股中签缴款，或者股票—查询—历史成交；4、通过我司各交易软件查询持仓，持仓中有代表中签；5、微信公众号：关注后，绑定账户后接收新股中签提示；6、微证券公众号：关注后，若新股中签，则在中签当日会有消息推送。如您查到有新股中签，请您在中签日16:00时保证主资金账户中有足够的可用资金，我司会统一扣减中签资金用于新股中签缴款。[备注]（1）在中签日当日，普通账户及信用账户通过手机软件、电脑软件（新版、旧版）后，均会新股中签弹框提示；（2）苹果电脑MAC版、平板证券没有新股中签查询菜单。（3）我司会在中签日当天给客户登记在我司手机号码发送新股中签短信。相关截图请点击右侧""详情""查看。",Aguxingu_json_csv
无论是普通账户还是信用账户，开通注册制创业板交易权限后可以将创业板权限关闭，是否会将其降级为核准制创业板权限？,无论是普通账户还是信用账户，开通注册制创业板交易权限后可以将创业板权限关闭，但不能将其降级为核准制创业板权限。,chuangyeban_json_csv
北交所新股申购可以撤单吗？,不可以。北交所新股一经（网上/网下）申购不可撤单。[注意]在交易日9:15前和中午休市时段，北交所新股申购的委托未上报至北交所系统前，虽然暂存在我司系统，仍然无法撤单。,beijiaosuo_json_csv
网上申购时，需要全额缴款吗？,申购时全额缴付，比例配售。在申购日当日需主资金账户有足额的可用资金进行缴款。,beijiaosuo_json_csv
创业板股票、债券的申购和交易等是否需要开权限？,（1）创业板债券的申购和交易：无需开通创业板权限便可操作；（2）创业板股票的申购和交易、创业板债券转股：需开通创业板权限才可操作。,chuangyeban_json_csv
档案可以分为哪几类？,将上述资料分为公司档案、部门档案、个人资料三大类,xingzheng_json
新股的配号查询路径有哪些？,1)手机软件：交易—新股申购—我的申购/历史申购;或通过交易—成交查询—历史成交—全部业务—申购配号查询；T日操作新股申购，T+2日前可通过“我的申购”来查询配号，T+2日后可通过“历史配号”来查询配号;2)电脑软件（新版）：交易—普通交易—新股申购—我的申购/经典交易—股票—新股—新股配号查询；3)电脑软件（旧版）：交易—股票—新股—新股配号查询；4)95565电话语音：1证券交易—1牛卡号输入—2查询—6新股配号查询（选1输入配号代码查询，或者2按时间段查询）；5)苹果电脑（MAC）：股票—查询—配号查询；6)平板证券：交易—查询—配号查询；7)微证券：交易—一键打新—申购记录菜单查询新股配号、新股中签情况。,Aguxingu_json_csv
沪市港股通的权限生效时间是？,（1）T日新开沪A股东代码，T+1日沪A新指定后才可开通沪市港股通交易权限，T+2日可以交易港股通股票；（2）T日前（不含T日）沪A已指定，T日开通沪市港股通交易权限，T日即可交易沪市港股通标的证券范围内的股票。,ganggutong_json_csv
在T日申购，在哪一天可以公布网下配售结果？,T日申购，T+3日公布配售结果。,beijiaosuo_json_csv
自助开通创业板权限时提示“暂无法向中国结算查询您的证券交易经验时间”怎么办？,自助开通创业板权限时，系统提示“暂无法向中国结算查询您的证券交易经验时间，请于交易日9:00-16:00办理”，则说明您账户没有下挂深A股东代码卡，请您在账户下挂深A股东代码卡后，满足创业板开通的条件再进行开通。相关截图请点击右侧“详情”查看。,chuangyeban_json_csv
深市的收盘集合竞价是？,收盘集合竞价时间为14:57至15:00。,Agujiaoyi_json
什么时间可以网下申购北交所新股？,满足北交所新股网下申购条件，可在申购日8:45左右-15:00（中午可正常委托）操作北交所新股网下申购。,beijiaosuo_json_csv
新规对信用账户产生的影响有哪些？,（1）如仅开老权限（核准制创业板权限），未开通新权限（注册制创业板），自2020年8月24日起将关闭客户账户的老权限（核准制创业板权限），不可交易创业板股票（核准制+注册制）。（2）若客户未及时完成补签，自2020年8月24日起将关闭其账户新老交易权限（即核准制+注册制），即无法申购创业板新股，也无法买入创业板股票（含核准制和注册制创业板），已持有的创业板股票卖出不受影响。,chuangyeban_json_csv
当报送会议设计多部门时，应该如何处理呢？,涉及多个部门的议题，必须与各共同上会部门达成一致，入围写上一致或仅部分协商一致，应有各相关部门分管领导协调解决，请暂勿提交会议审议，紧急一天来不及完成会签的，主办单位应与各相关单位口头沟通意见后方可提交会议审议，并向会议汇报各方意见，会后须完成会签。,xingzheng_json
办理收文使用于那种制度？,适用制度：《收文管理办法》,xingzheng_json
新股/新债中签锁定的资金可以解除锁定吗？,不可以。新股（A股）/新债中签缴款资金当天提前锁定后无法解除锁定，我司会统一扣减中签资金用于新股/新债中签缴款。,Aguxingu_json_csv
沪市的退市整理股票是否支持市价委托呢？,不支持,Agujiaoyi_json
关于上海市场委托数量的信息从哪里得知？,来源于《上海证券交易所风险警示板股票交易管理办法》，详见：,Agujiaoyi_json
个人怎么开通港股通交易权限？,您满足开通港股通权限条件的情况下，个人客户（包括港澳台、外国人客户）可通过以下方式办理开通：1、自助渠道（支持7×24小时）（1）手机软件：交易—普通—港股通手机软件（V8.0前版本）：我的—我的业务办理—开通港股通手机软件（V8.0及以上版本）：我的—全部业务—开通港股通（2）电脑软件（新版）：我的—业务办理—港股通；（3）电脑软件（新版）经典交易：股票—港股通—港股通业务开通；（4）网上营业厅：点击港股通菜单登录账户进行开通。[备注]1）电脑软件（旧版）的港股通业务开通功能已下线，因此机构客户无法通过智远理财服务平台办理开通港股通权限；2）电脑软件（新版）经典交易的“港股通业务开通”功能，机构客户可点击自助办理；3）资产量条件不满足的情况下可以先做知识测试，后续开通无需再做；4）微证券无法开通和交易港股通股票。2、营业部现场办理账户本人在交易日9:00-17:00带齐有效二代身份证（港澳台客户办理需携带开户时证件）到就近营业部开通交易权限，请您提前与就近营业部联系。[备注]营业部开通港股通权限，无需进行知识测试。自助办理的渠道请点击右侧“详情”查看。,ganggutong_json_csv
个人投资者如何通过手机软件开通港股通呢？,手机软件（V8.0前版本）：交易—普通—港股通，或者我的—我的业务办理—开通港股通；2、手机软件（V8.0及以上版本）：我的—全部业务—开通港股通；,ganggutong_json_csv
怎么计算新股中签率？,新股（A股）中签率=股票发行股数/有效申购数*100%。新股申购日当天何时委托与能否中签没有必然关系。新股申购按照申购的配号结果摇号中签。能否中签取决于个人运气，中签率越低的新股中签的概率也相对越低。,Aguxingu_json_csv
股票在涨、跌停时可以选择市价委托下单吗？,"备注：在股票涨跌停时，成交几率较小，建议客户选择限价委托。如客户使用了市价委托，请建议客户委托后及时查询委托状态。但由于市价委托也是需要提取买/卖方价格,如果出现卖/买方没有价格,交易所会做废单处理。",Agujiaoyi_json
沪市配号以什么数字开头？,沪市配号是以1开头。,Aguxingu_json_csv
深交所在9:15-9:20是否会接受并处理撤单呢？,接受并处理,Agujiaoyi_json
核准制公司的退市是否有完善的退市制度？,退市制度相对不完善，退市效率和频率相对较低,chuangyeban_json_csv
如何通过智远理财服务平台（V2.08及以上版本）、智远一户通PC版、智远一户通手机APP（苹果V5.10及以上版本、安卓V5.12及以上版本）、新版牛网交易快速通道签署风险揭示书？,1、智远理财服务平台（V2.08及以上版本）、智远一户通PC版、智远一户通手机APP（苹果V5.10及以上版本、安卓V5.12及以上版本）、新版牛网交易快速通道：下单弹窗可签署（该功能已下线，即客户可正常委托下单，若未签署揭示书，则提示“您尚未开通风险警示股票交易权限，请先通过最新版智远一户通APP、智远一户通PC业务办理菜单中的开通ST股票交易权限入口开通相关权限”）；,Agujiaoyi_json
是否可以单独锁定某只新股的中签资金？,当天多只新股中签，在新股申购界面只能一键确认锁定全部需缴款的资金，不能选择锁定其中一只缴款或选择部分缴款。,Aguxingu_json_csv
新股申购额度的计算标准是？,需您名下沪、深A股证券账户在T-2日前20个交易日，含T-2日，日均市值达1万元及以上，不足1万元没有额度，且市值核算范围为非限售A股。沪深两市分开计算，多个证券账户的市值可合并计算。深市：日均市值必须达到1万元以上，每5000元市值可申购500股，不足5000元的部分不计入申购额度，申购数量应为500股及其整数倍。沪市：每1万元市值可申购1000股，不足1万元的部分不计入申购额度，沪市主板新股的申购数量为1000股及其整数倍，沪市科创板申购数量为500股及其整数倍。,Aguxingu_json_csv
出现什么行为，会被列入黑名单？,配售对象未及时足额缴纳申购资金将被列入黑名单6个月；配售对象在一个自然年度内出现2次（含）以上该情况，从最后一次出现该情况的次日起将列入黑名单12个月。网上投资者未及时足额缴纳申购资金的将被列入黑名单，但目前北交所新股进行申购时需全额缴款，因此一般不会触发，除非我司系统未完成缴款。提供有效报价网下投资者未及时足额参与申购或未及时足额缴纳申购资金的，将被视为列入黑名单6个月；若网下投资者在一个自然年度内出现2次（含）以上，将列入黑名单十二个月。,beijiaosuo_json_csv
广告投放等对外传播事宜使用于哪种制度？,适用制度：《品牌管理办法》,xingzheng_json
上交所网下IPO系统用户手册-申购交易员分册pdf链接是？,上交所网下IPO系统用户手册_申购交易员分册,Aguxingu_json_csv
什么是新股中签？,A股新股中签是指按照交易所的规则，申购后分配有效的配号，根据申购的总配号，由主承销商主持摇号抽签，确认摇号中签结果的行为。摇号抽签后需在指定媒体上公布中签结果，公布中签率。,Aguxingu_json_csv
创业板可转债转股需要开通创业板权限吗？,需要。创业板可转债转换为创业板股票需开通创业板权限才能操作。未开通创业板权限，仅能将持有的可转债卖出或持有至到期，不能转换为股票。,chuangyeban_json_csv
可以通过哪些渠道查询到北交所新股的发行信息？,1）手机软件（V8.10及以上版本）：交易—北证/新三板新股申购—打新日历—申购日历；手机软件（V8.10及以上版本）：交易—北交所交易—新股申购—打新日历—申购日历；2）电脑软件（新版，V7.11及以上版本）经典交易：股票—北交所—新股申购，或北交所—新股申购—申购日历。3）95565电话语音：按键7（新股业务提示）—按键1（今日新股提示）—按键3（北交所新股）,beijiaosuo_json_csv
核准制创业板权限不变为注册制对账户有影响吗？,如您已开通核准制创业板权限（2020年4月28日前开通，含转签的投资者），不开通注册制创业板权限，仅能参与核准制创业板股票交易，无法参与注册制创业板股票发行申购、交易。[备注]1、如需参与注册制创业板股票发行申购、交易，应当重新签署新版《创业板投资风险揭示书》。申请了注册制创业板权限的客户可交易注册制+核准制的所有创业板股票；2、信用账户未完成补签，则新老创业板股票均无法交易。,chuangyeban_json_csv
申购北交所新股什么时候显示持仓？,T日网上/网下申购北交所新股，T日晚上清算后的有效申购，持仓记录可显示该只新股的申购信息，代码是申购代码，并且账户按照申购数量显示股票市值。,beijiaosuo_json_csv
公司官网发布非业务类内容的审批流程？,填写横向协作申请单→上级主管审批→需求部门领导审批→通过后发布。,xingzheng_json
首次公开发行上市股票/存托凭证上市首日证券简称首位字母是？,首次公开发行上市股票/存托凭证上市首日证券简称首位字母为“N”,chuangyeban_json_csv
如何通过电脑软件（新版）查询历史新股申购记录？,②电脑软件（新版）：交易—普通交易—新股申购—我的申购—历史已完结申购，T日新股申购日，则T+3日起可查看T日申购新股的记录，未完结缴款的新股申购记录，可通过“当前未完结申购”菜单查询；,Aguxingu_json_csv
已在我司券商开通注册制创业板权限，在我司再开通注册制创业板交易权限。如何通过电脑软件（新版）开通权限？,（2）电脑软件（新版）：我的—业务办理—开通创业板；,chuangyeban_json_csv
作为普通机构投资者，需要同时满足哪些条件才能开通港股通？,风险测评结果在C4增长型及以上,ganggutong_json_csv
注册制创业板上市需要满足哪些条件？,一般企业发行人申请在本所创业板首次公开发行上市，应当符合下列条件：（一）符合中国证监会规定的创业板发行条件；（二）发行后股本总额不低于3000万元；（三）公开发行的股份达到公司股份总数的25%以上；公司股本总额超过4亿元的，公开发行股份的比例为10%以上；（四）市值及财务指标符合本规则规定的标准（下列表格标准）；（五）本所要求的其他上市条件。,chuangyeban_json_csv
针对专业投资者，深市、沪市的退市整理股票开通条件是？,专业投资者：A类专业投资者无需满足交易经验、资产量及风险承受能力要求，可直接签署相关《风险揭示书》后方可开通买入权限；B、C类专业投资者中的个人投资者，无需满足风险承受能力要求，但仍需满足交易经验及资产量要求，并签署相关《风险揭示书》后方可开通买入权限；B、C类专业投资者中的机构投资者，无需满足无需满足交易经验、资产量及风险承受能力要求，可直接签署相关《风险揭示书》后方可开通买入权限。,Agujiaoyi_json
就行政办公采购，哪些属于集中采购范围？,行政办公采购，单次采购金额3万元（或等值外币，下同）以上的；,xingzheng_json
上交所的收盘集合竞价时间段是否会接受撤单委托？,不接受,Agujiaoyi_json
开盘价通过哪种方式产生？,证券的开盘价通过集合竞价方式产生，不能通过集合竞价产生的，以连续竞价方式产生。,Agujiaoyi_json
软件有北交所新股申购配售成功提示吗？,有。您参与北交所新股申购配售成功当天登录手机软件后会提示您配售成功的结果。[备注]电脑软件没有提示。,beijiaosuo_json_csv
新股中签当天，微信公众号（普通账户）如果需要新股中签消息提醒首先需要做哪些呢？,④微信公众号（普通账户）：目前，关注我司“招商证券”微信公众号后，在“MY账户”需进行“账户验证”。,Aguxingu_json_csv
分公司及营业部员工借阅档案的经办人/联系方式是什么？,经办人/联系方式：机要管理岗余伟/0755-83081025,xingzheng_json
普通账户怎么查新股申购额度？,"您可通以下渠道查询A股新股申购额度：1、手机软件：交易—普通—新股申购—今日申购，“全部”菜单可查看沪A、深A和科创板额度，“普通新股”菜单可查看沪A和深A额度，“注册制新股”菜单可查看深A和科创板额度；2、电脑软件（新版）：交易—普通交易—新股申购—今日申购，""我的额度""分别显示深A、沪A和科创板额度；3、电脑软件（旧版）、电脑软件（新版）经典交易：股票—新股—新股额度查询，沪A新股额度栏目显示""科创板申购额度""；4、95565电话语音：拨打95565—1证券交易—1牛卡号输入—2查询—5新股申购额度查询（可分别查询深A、沪A和科创板额度）；5、平板证券：交易—查询—新股申购额度查询；6、微证券：交易—一键打新，""新股""可查看沪A新股配额、深A新股配额，""科创板""可查看科创板新股配额.我司系统每个交易日均可查到A股新股申购额度，不区分T日是否有新股发行。[备注]（1）网页版交易快速通道、苹果电脑（MAC）、微信公众号无法查询；（2）深市、科创板新股申购额度以500股及其整数倍显示，沪A新股申购额度以1000股及其整数倍显示，以当日账户查询结果为准；（3）电脑软件（新版）没有开通科创板权限/注册制创业板权限也会显示科创板新股额度/深A额度，但是在申购菜单会提示无权限；手机软件没有开通科创板权限/注册制创业板权限在“注册制新股”菜单下不会显示科创板额度/深A额度，申购时会提示开通科创板权限/注册制创业板权限。相关截图请点击右侧“详情”查看。",Aguxingu_json_csv
新股中签当天，牛网快速交易通道(仅限普通账户)登录后是否会有新股中签弹框提示？,②牛网快速交易通道(仅限普通账户)：登录后，会有新股中签弹框提示。,Aguxingu_json_csv
所有的创业板股票都适用价格笼子规定吗？,是的。自创业板注册制下发行上市的首只股票上市首日起，创业板上市的全部股票（包括核准制和注册制创业板股票）都适用“价格笼子”的相关规定。,chuangyeban_json_csv
合同等文件归档的经办人及联系方式是？,经办人/联系方式：各部门自行管理,xingzheng_json
之前的股东代码卡已注销，是否会影响首笔交易经验的核算？,之前的股东代码卡已注销，也不影响首笔交易经验的核算。,chuangyeban_json_csv
开通创业板权限的账户被注销，重新开通权限要满足什么条件？,仍需满足注册制创业板交易权限交易经验、资产量等条件。,chuangyeban_json_csv
深交所多次申购，如何确认有效申购？,深交所多次申购:以首笔为有效申购为准，相同股东账号多次重复申购会直接及时报废单。,Aguxingu_json_csv
客户来电询问港股通知识水平测试的答案可以告知吗？,不可以。由于港股通存在一定的风险，根据监管要求，为了保障投资者利益，在开通权限前需先了解相关风险，请您自行学习后再进行测试。[备注]您可通过我司官网：投资者教育基地—证券知识—港股通专栏进行学习。,ganggutong_json_csv
深市的连续竞价阶段，有效竞价范围是？,最近成交价的上下10%,Agujiaoyi_json
提交稿件由谁负责投稿？,要由部门信息员按照要求统一投稿。,xingzheng_json
创业板三维适配是指什么？,1、创业板三维适配如下：（1）风险等级：R3中风险；（2）投资期限：0-1年；（3）投资品种：权益类。仅限三维适配结果均为匹配的客户才可参与。,chuangyeban_json_csv
开通港股通权限可以买所有港股股票吗？,不可以。港股通权限开通后仅能交易港股通标的内股票，不能交易所有港股。其中：1、开通沪市港股通交易权限，能交易沪市港股通标的股票；2、开通深市港股通交易权限，能交易深市港股通标的股票；3、对于沪深两市重叠标的，可以任选深H或沪H股东代码交易港股通股票。,ganggutong_json_csv
申请OA首页滚动播报适用于哪种制度？,适用制度：《OA首页轮播发稿审批流程》（分管领导已同意，暂无发文，后续写入《E报管理办法》）,xingzheng_json
如何通过交易所网站查询？,（2）通过交易所网站查询：上交所：首页—IPO信息专区；深交所：首页—快速入口—IPO信息查询；,Aguxingu_json_csv
放弃中签缴款的股数最小单位为？,最小单位为1股，不是500/1000股的整数倍;,Aguxingu_json_csv
注册制的公司上市条件是？,符合规定的企业，包括成熟企业和成长型企业，一般不要求企业满足盈利条件,chuangyeban_json_csv
什么是新股网上发行？,网上发行，是指通过证券交易所交易系统，向社会公众投资者（包括个人和机构投资者）定价发行的证券发行行为。,Aguxingu_json_csv
普通账户权限开通结果查询如何通过网上营业厅查询？,（3）网上营业厅：业务办理首页—开通创业板。创业板权限开通页面，显示对应股东代码是否已开通创业板权限，包括新的注册制创业板权限是否已开通，如权限开通成功，界面显示“已开通”。,chuangyeban_json_csv
如何通过电脑软件（新版）查询当天的新股申购记录？,②电脑软件（新版）：交易—普通交易—新股申购—我的申购—当前未完结申购，T日新股申购日，T+2日晚上清算前均可查看T日的申购记录；,Aguxingu_json_csv
怎么查询新股预约打新的记录？,您可以通过手机软件：交易—普通交易—新股申购/智能下单—预约打新查看预约记录，可点击单只新股，进入查看预约详情。若该笔申购已经申报，也可通过委托记录查询。相关截图请点击右侧“详情”查看。,yuyuedaxin_json_csv
深交所在开盘集合竞价的交易时间段接受时的委托状态是？,接受（09：25集中撮合）,Agujiaoyi_json
港股通投资者指南的网页链接是？/如何了解港股通投资者指南？,港股通投资者指南：,ganggutong_json_csv
网下投资者或配售对象在一个自然年度内什么情形会被拉入黑名单？,"网下投资者或配售对象在一个自然年度内出现以上规定的一种情形的,协会将其列入黑名单六个月，单种情形两次(含)以上或两种情形以上,协会将其列入黑名单十二个月。",Aguxingu_json_csv
科创板新股是1000股的整数倍申购吗？,不是。科创板新股是以500股及其整数倍进行申购。[备注]科创板新股申购后也是以500股为一个配号。,Aguxingu_json_csv
新股中签当天，电脑软件（新版、旧版）登录方式是“行情+交易”还是“交易”是否均有弹框提示？,"电脑软件（新版、旧版）登陆方式无论是""行情+交易""还是""独立交易""均有弹框提示。",Aguxingu_json_csv
在深交所的17：30-9：15如何处理申购委托？,接受不处理,Agujiaoyi_json
上交所的收盘价通过哪种方式产生？,证券的收盘价通过集合竞价的方式产生。收盘集合竞价不能产生收盘价或未进行收盘集合竞价的，以当日该证券最后一笔交易前一分钟所有交易的成交量加权平均价（含最后一笔交易）为收盘价。,Agujiaoyi_json
深交所的休市阶段是哪个时间段？,11：30-13：00（非交易时间）,Agujiaoyi_json
普通账户权限自助渠道的开通时效是？,（1）T日9:00-16:00前申请开通权限，办理成功实时生效；（2）T日16:00-T+1日9:00前通过自助开通创业板权限时，T+1日9点后生效，具体以您收到的短信提示为准。,chuangyeban_json_csv
在B股中是如何进行清算交收的？,B股：T日买入，T+1日起可卖，股份T+3日交收；T日卖出，T+3日资金交收，即资金可取。,Agujiaoyi_json
普通账户机构客户已开通创业板交易权限怎么再开通注册制创业板权限？,1、普通机构客户（1）已在其他账户开通核准制创业板权限需机构代理人在交易日9:00-16:00带齐有效开户证件到我司就近营业部办理，需提供资料请联系营业部确认；（2）已在其他账户开通注册制创业板权限申请开通权限无资产、交易经验要求，需风险测评为C3平衡型及以上（C2稳健型及以下不能开通），需机构代理人在交易日9:00-16:00带齐有效开户证件到我司就近营业部办理，需提供资料请联系营业部确认。[备注]上述2种情况开通创业板权限均支持见证办理，具体如何办理请咨询拟办理营业部。2、专业机构客户无需做什么操作（比如签署风险揭示书等），便可直接交易所有的创业板股票。,chuangyeban_json_csv
电脑软件（新版）经典交易如何申购新股？,3)电脑软件（新版）经典交易：股票—新股—新股发行查询；使用功能键，在键盘上输入“XGFX”，在沪深新股发行界面查看；,Aguxingu_json_csv
专业投资者的退市整理股票申请买入权限的开通方式是？,专业投资者：账户本人在交易日9:00-17:00带齐有效开户证件（二代身份证/港澳台客户办理开户时证件，包括港、澳居民来往内地通行证和台湾居民来往大陆通行证、港澳台居民身份证、公安机关出具的临时住宿登记证明表/居住证）到所属营业部开通买入权限并签署《风险揭示书》。,Agujiaoyi_json
70周岁及以上的客户怎么开通信用账户创业板权限？,在普通账户已开通创业板权限的情况下，信用账户才能开通对应的创业板权限。1、手机软件（仅支持境内个人客户）：我的—开通创业板—信用账号，点击“立即开通”，通过人脸识别后签署相关协议即可开通创业板权限。[备注]由于人脸识别仅支持识别身份证开户的客户，因此70周岁及以上的港澳台、外国人客户无法自助办理，需临柜办理。2、营业部办理账户本人在交易日9:00-17:00带有效二代身份证（港澳台客户需携带的是开户时证件）到就近营业部开通交易权限，请您提前与就近营业部联系。,chuangyeban_json_csv
普通个人投资者、普通机构投资者的退市整理股票开通申请需要携带哪些材料？,账户本人在交易日9:00-17:00带齐有效开户证件（二代身份证/港澳台客户办理开户时证件，包括港、澳居民来往内地通行证和台湾居民来往大陆通行证、港澳台居民身份证、公安机关出具的临时住宿登记证明表/居住证）到所属营业部开通买入权限并签署《风险揭示书》,Agujiaoyi_json
开通创业板权限要填写其他联系人姓名、手机号码吗？,不需要。开通创业板权限无需填写其他联系人姓名、手机号码。[备注]1、以上情况为自2020年4月28日起（含）的最新监管要求；2、2020年4月28日前已填写其他联系人姓名、手机号码，如需修改手机号码的，需临柜至所属营业部办理。[过时]2020年4月28日前，根据监管部门要求，首次开通创业板权限、创业板转签需填写其他联系人姓名、手机号码，以便联系。,chuangyeban_json_csv
苹果电脑（MAC）、微信公众号可以申购科创板新股吗？,仅可申购主板、创业板，无法申购科创板新股：,Aguxingu_json_csv
沪市市场，哪些股票不实行价格涨跌幅限制？,沪市：首次公开发行上市的股票和封闭式基金；增发上市的股票；暂停上市后恢复上市的股票；退市后重新上市的股票,Agujiaoyi_json
创业板交易新规中，当日15:00仍处于停牌状态的股票是否进行盘后固定价格交易？,2）当日15:00仍处于停牌状态的股票不进行盘后固定价格交易。,chuangyeban_json_csv
未开通创业板权限能否交易其他券商账户转托管至我司的创业板股票？,从其他券商转托管至我司的创业板股票，可直接交易卖出，但参与创业板新股申购、创业板股票买入则需开通注册制创业板权限。,chuangyeban_json_csv
触及财务类、规范类、重大违法类被实施退市风险警示规定的上市公司股票作出终止上市决定后，自公告终止上市决定之日起第几个交易日复牌并进入退市整理期交易？,触及财务类、规范类、重大违法类被实施退市风险警示规定的上市公司股票作出终止上市决定后，自公告终止上市决定之日起五个交易日后的次一交易日复牌并进入退市整理期交易。,chuangyeban_json_csv
普通账户权限资助通过营业部现场开通，是否会有短信通知？,无短信通知。,chuangyeban_json_csv
什么时间可以自助开通港股通交易权限？,7*24小时均可通过我司软件自助开通。,ganggutong_json_csv
新股上市首日，在深市的连续竞价阶段，有效竞价范围是？,最近成交价的上下10%,Agujiaoyi_json
网下新股申购额度的计算规则是？,网下新股申购额度计算规则：名下沪、深A股证券账户在X-2日前20个交易日，含X-2日（初步询价开始日X），一般日均市值达6000万及以上，且市值核算范围为非限售A股。具体要求的日均市值可查看发行公告。沪深两市分开计算，多个证券账户的市值可合并计算。,Aguxingu_json_csv
对协会注册网下投资者的证券投资经验要求是？,"具备一定的证券投资经验。机构投资者应当依法设立、持续经营时间达到两年（含）以上,从事证券交易时间达到两年（含）以上;个人投资者从事证券交易时间应达到五年（含）以上。经行政许可从事证券、基金、期货、保险、信托等金融业务的机构投资者可不受上述限制；",beijiaosuo_json_csv
资产核算的市值包括哪些？,2）市值：A股、B股、优先股、限售股、股转系统股票（新老三板都算）、场内基金、场外基金理财（只核算98、99中登TA，其他不核算）、债券（含逆回购资产）、报价回购、资产支持证券、股票期权，港股通股票、普通账户关联的信用账户净资产等。其中，在有外币或者B股的情况下，我司按照汇率（依国家外汇管理局挂牌汇率，我司采用每月月初的人民币汇率中间价）折算为人民币计算。在我司有多个普通牛卡账户，资产量合并计算，其他券商资产不核算。,ganggutong_json_csv
可以通过哪些软件（工具）申请预约打新？,您可以通过手机软件（V7.82及以上版本）：普通—交易—新股申购，或者交易—智能下单—预约打新进入预约申购界面进行操作。,yuyuedaxin_json_csv
